Category,Monthly Budget,Description,Keywords
Food & Dining,500,"Restaurants, coffee shops, fast food, bars","restaurant, cafe, coffee, pizza, burger, sushi, starbucks, mcdonalds, subway, chipotle, diner, bar, pub, grill, bistro, bakery"
Groceries,600,"Supermarkets, grocery stores, farmers markets","grocery, supermarket, walmart, costco, trader joe, whole foods, kroger, safeway, aldi, target, market, fresh, produce"
Transportation,300,"Gas, parking, tolls, rideshare, public transit","gas, fuel, shell, bp, exxon, chevron, uber, lyft, parking, toll, transit, metro, bus"
Utilities,300,"Electric, water, gas, internet, phone bills","electric, water, gas bill, internet, comcast, att, verizon, tmobile, utility, power, energy"
Entertainment,200,"Movies, concerts, streaming, games","cinema, movie, theater, concert, netflix, spotify, game, arcade, amusement, bowling, museum"
Healthcare,200,"Pharmacy, doctor, dentist, medical supplies","pharmacy, cvs, walgreens, doctor, dentist, hospital, clinic, medical, health, prescription"
Shopping,300,"Clothing, electronics, general retail","amazon, mall, clothing, shoes, electronics, best buy, nike, zara, h&m, retail"
Business,500,"Office supplies, business services","office, staples, fedex, ups, printing, copy, business, supplies, coworking"
Travel,500,"Hotels, flights, car rentals","hotel, airbnb, flight, airline, airport, car rental, hertz, marriott, hilton, booking"
Education,200,"Books, courses, tuition","book, course, tuition, school, university, udemy, coursera, library, textbook"
Personal Care,150,"Salon, spa, cosmetics","salon, spa, barber, hair, nail, cosmetics, beauty, skincare, massage"
Home & Garden,200,"Hardware, furniture, home improvement","home depot, lowes, ikea, furniture, hardware, garden, plant, home improvement"
Gifts & Donations,100,"Gifts, charity, donations","gift, charity, donation, present, flower, card"
Subscriptions,100,"Recurring services, memberships","subscription, membership, gym, club, recurring, monthly"
Other,200,"Uncategorized expenses",""
